username,text,tweetcreatedts,hashtags,acctdesc,location,followers,totaltweets,usercreatedts,retweetcount
abdulwahabmarv1,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 12:17:37,[],"I know road,just follow me😏






football-messi","Abuja, Nigeria",1808,2523,2019-01-27 22:42:38,5570
elcapoosorno,"Match OnlinE NOW 
Chelsea vs Crystal Palace

broadcast ➡️ https://t.co/DM3GyNTJBm

broadcast ➡️ https://t.co/DM3GyNTJBm

broadcast ➡️ https://t.co/DM3GyNTJBm
   #CHECRY #CFC",2020-10-03 12:17:37,"['CHECRY', 'CFC']",,,5,14,2012-04-27 21:41:11,0
SlimCyclops,@Savage_T_Raw Nah Eberechi Eze and One other guy for Crystal palace midfield,2020-10-03 12:17:36,[],"I'm that guy who is closest to BEST.....I'm in no RUSH but I'm still not PATIENT, NoTeam, NoCrew, NoBoss, JustMe, Few Friends, Few Families #1TRUE GOD #Believe",Outta Space ,2095,53007,2011-02-03 22:42:20,0
ChelseaNewsApp,Chelsea v Crystal Palace – Team-Sheets Revealed: https://t.co/cD0MFy9eOQ,2020-10-03 12:17:35,[],Available on Android (https://t.co/DFNVJmJVmv) and iOS (https://t.co/M3b3Y84pqU),Stamford Bridge,580,52604,2012-10-17 20:19:35,0
ChelseaNewsApp,Chelsea score predictions vs. Crystal Palace: An uncomfortable affair: https://t.co/2x01LKSwZU,2020-10-03 12:17:35,[],Available on Android (https://t.co/DFNVJmJVmv) and iOS (https://t.co/M3b3Y84pqU),Stamford Bridge,580,52604,2012-10-17 20:19:35,0
ChelseaNewsApp,Chelsea v Crystal Palace: Premier League – live!: https://t.co/auhT6Skjfl,2020-10-03 12:17:35,[],Available on Android (https://t.co/DFNVJmJVmv) and iOS (https://t.co/M3b3Y84pqU),Stamford Bridge,580,52604,2012-10-17 20:19:35,0
PalaceNewsApp,Why isn't Batshuayi named today and where is Chelsea's recent signing Ziyech?: https://t.co/LgZan59TA2,2020-10-03 12:17:35,[],Twitter account for the Palace News App for iPhone and iPad: https://t.co/ngEo0KNsGH,Selhurst Park,707,34325,2012-12-21 11:26:26,0
ChelseaNewsApp,"Chelsea v Crystal Palace line-ups: Hudson-Odoi starts, no Loftus-Cheek, Eagles duo miss out: https://t.co/9eEPRAoHkX",2020-10-03 12:17:35,[],Available on Android (https://t.co/DFNVJmJVmv) and iOS (https://t.co/M3b3Y84pqU),Stamford Bridge,580,52604,2012-10-17 20:19:35,0
ChelseaNewsApp,"Chelsea vs. Crystal Palace, Premier League: Confirmed lineups; how to watch: https://t.co/JsUJyVFLyJ",2020-10-03 12:17:35,[],Available on Android (https://t.co/DFNVJmJVmv) and iOS (https://t.co/M3b3Y84pqU),Stamford Bridge,580,52604,2012-10-17 20:19:35,0
GAXULIR,"Chelsea vs Crystal Palace (ENGLISH COMMENTARY) 
@5ve_k_
#CHECRY #Livestream 
https://t.co/M3c0NMrKS3",2020-10-03 12:17:33,"['CHECRY', 'Livestream']",I'm me,Nigeria,122,2687,2011-10-01 12:33:01,194
Kazzacus,"Crystal palace look very well drilled, using a 4-4-2 formation that is commendable.",2020-10-03 12:17:33,[],"Sports enthusiast.

Arsenal FC
Charlton FC
Lebron","London, England",1959,18678,2010-09-15 19:56:10,0
Tobbyakog,"Crystal Palace, I carry una straight win o. Chelsea must cry today. https://t.co/jlXXlrk8nW",2020-10-03 12:17:33,[],"Reality preacher||Be selective in your battles, sometimes peace is better than being right. The God's eye view. Introvert ♍ ♍ ♍
 #ProudlyEkiti @ManUtd",Higher,1051,42859,2012-03-27 21:44:35,0
torrego_70,"GIVEAWAY: If Timo Werner scores first against Crystal Palace today, we'll giveaway ANY brand new Premier League shirt of your choice. 

Simply RT and follow us @FootbalIhub to enter. ✅🔁 https://t.co/k3EDpHQJkl",2020-10-03 12:17:31,[],"Soy una persona muy alegre, geek y deportista a la vez , me encanta la música de los 80s..",,94,1173,2010-04-02 18:35:04,557
dejairootobard,@ChelseaFC Chelsea 2-1crystal palace,2020-10-03 12:17:29,[],"Printing Professional🇳🇬 +2347033238752
Branding 👕👒🚐🍺💳📙
Fabrication
Signage

Football
& Politics

@ChealseaFC","Lagos, Nigeria",64,24,2016-11-18 18:54:34,0
blak_padlock,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 12:17:28,[],life is never fair that's the reason why am dark🖤 ⚽🎼👑,abele tsorney,1481,24705,2016-09-13 23:15:48,5570
AditPutraH,Ben Chilwell has lost possession (5) more times than any other player on the pitch against Crystal Palace in the opening 10 minutes.,2020-10-03 12:17:28,[],Mz.,Bekasi sebelah timur,531,179352,2014-01-05 12:34:57,587
IrishPropaganda,"Never thought I’d watch a match worse then Gibraltar vs Ireland 

I was wrong, thank you Chelsea and Palace",2020-10-03 12:17:27,[],Shane Duffy. Ireland. Football. In that order. 🇮🇪☘️,"Cork, Ireland",3286,9175,2019-03-19 23:00:51,0
Drey_phoenix,A wonder if Timo Werner knew about the deep defensive lines in the Premier League. I don't think there's any team in Germany quite like Crystal Palace.,2020-10-03 12:17:27,[],"Christian. Currently at the Waystone Inn. #MUFC

IG: @dreyphoenix","Kumasi, Ghana",1003,47414,2011-11-12 20:16:29,49
Kennediizy,Ben Chilwell has lost possession (5) more times than any other player on the pitch against Crystal Palace in the opening 10 minutes.,2020-10-03 12:17:26,[],I'm married to my opinion...giving a fuck about yurs will be an adultery and I wana b faithful.#Abuja #Jos #ARSENAL.,"Abuja, Nigeria",1269,42026,2010-06-27 18:10:55,587
OlSinghy,"Around 18m of the fee for Brewster is guaranteed, with the rest (5.5m) reliant in performance-related add-ons. Brewster held talks with Crystal Palace but was enthused about moving to Sheffield United after a passionate pitch from Chris Wilder. [athletic]

#twitterblades #sufc https://t.co/46UCSAnYZE",2020-10-03 12:17:26,[],Natural Powerlifter.,,353,28788,2011-01-06 14:45:27,27
tommyswayze,@DrawtyDevil palace chelsea js 0-0,2020-10-03 12:17:26,[],MUFC fan i do have other interest’s but not much else matters,,7,865,2014-02-03 20:19:46,0
sammiestarks,Who knows if Crystal Palace also have a DoF and football people?? #CHECRY https://t.co/NrtScDBCeu,2020-10-03 12:17:26,['CHECRY'],"UI/UX Designer @Sterling_Bankng ,Digital artist, graphic designer, lover of sports. 
IG - @sammiestarks_art ♉","ÜT: 6.53381,3.37815",905,36434,2011-05-06 19:41:48,1
HolyCaball,Ben Chilwell has lost possession (5) more times than any other player on the pitch against Crystal Palace in the opening 10 minutes.,2020-10-03 12:17:26,[],"No 1 @FCRBS_en fan in Africa.
#COYG",,522,14756,2018-06-18 11:41:42,587
jeehfradique,"Exclusive links for Live broadcasts, which link to you

Live streaming Chelsea vs Crystal Palace

#تشيِلسي_كريستاَل

𝐌𝐀𝐓𝐂𝐇 ⤵️⤵️

The first link ✔️
https://t.co/pRe4kOnhPg 
⌘
The second link ✔️
https://t.co/s9sXAdcKHv

♡Retweet🔃 + Like",2020-10-03 12:17:25,['تشيِلسي_كريستاَل'],,,8,40,2009-08-13 16:33:31,0
mykel_rechard,"@kofoworola__a even CHO is doing fantastically rubbish with much expectation from him today.
i just need one of them to do Mad decision to score against Palace
#CHECRY",2020-10-03 12:17:24,['CHECRY'],"TELECOMMUNICATIONS ENGINEER at SILICON HARBOUR INVESTMENT LIMITED @chelseafc 🇳🇬 fan, 💯#Edo #YPP @verified @chelseaFCW","Okota, Lagos",428,5111,2012-03-31 08:35:39,0
jaysavv69582379,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 12:17:24,[],,,3,53,2020-02-05 23:32:34,5570
korsogyimi,"Crystal Palace

Do this for daddy",2020-10-03 12:17:23,[],Life is too short to be serious put a smile on that face,,28431,52920,2019-04-02 21:11:14,9
yohanyooo,ever since @SpencerOwen’s new away kit video I keep thinking about aquafresh toothpaste watching this Chelsea Palace game 🤣,2020-10-03 12:17:23,[],🇫🇷 🇬🇳 21 #COMUNICADOOFICIAL Founder and Editor of Comunicado Oficial,London,225,11704,2013-09-29 14:39:50,0
jonnyc2cmma,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 12:17:21,[],let me cook u shit,,421,58463,2011-12-02 12:58:23,5570
BlacGeezus,Ben Chilwell has lost possession (5) more times than any other player on the pitch against Crystal Palace in the opening 10 minutes.,2020-10-03 12:17:20,[],Man Utd forever ||| Pet Lover ||| Witty,,1203,74348,2011-10-26 21:19:42,587
MyxxtroCFC,"We need someone who will go direct to facing the defense of palace

I'm missing Pulisic with that direct effort
#CHECRY",2020-10-03 12:17:19,['CHECRY'],Chelsea fan •||• music lover •||• turn notifications on for more updates on Chelsea news •||• @myxxtro •||• CfC •||• ALL THiNGS ARE CHELSEA and FOOTBALL related,✊🏿,1230,1549,2020-08-18 00:42:43,1
_freddieg_,Ben Chilwell has lost possession (5) more times than any other player on the pitch against Crystal Palace in the opening 10 minutes.,2020-10-03 12:17:19,[],RIP Junior & Jerrell,Brixton ,262,30537,2011-01-30 00:40:50,587
ClaretBluBlood,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 12:17:19,[],"I wasn't beaten Claret & Blue as a kid, I chose to support this club and have punished myself ever since! Love my Boxer & all things 80's. Single. Own business.",Bedfordshire ,475,8652,2019-10-12 14:59:24,5570
Mick24655347,Chelsea - Crystal Palace https://t.co/HJRUQz6mGF,2020-10-03 12:17:18,[],Sisters Cunt,The Green Bridge ,286,6009,2019-10-08 18:38:12,0
peloomi_,Friends of Crystal Palace 🙏,2020-10-03 12:17:17,[],,"Lagos, Nigeria",2488,86242,2010-04-10 03:19:31,1
ojharbord,One minute added on. #cfc https://t.co/dbiesYR7LE,2020-10-03 12:17:17,['cfc'],Chelsea FC correspondent for https://t.co/wCsmKxTDuE. Views are my own. #cfc #chelsea,London,27987,18882,2009-11-11 17:16:18,0
Ononuju7,@nengistan22 Na Chelsea vs crystal palace be that😂,2020-10-03 12:17:12,[],,"Lagos, Nigeria",246,571,2018-10-19 15:24:45,0
koba_seduz,"Follow the game Live Online ⚽️
Chelsea VS Crystal Palace
🔴🔹🔸#تشَيلسي_كريستاّل_بالاَس #تشيِلسي_كريستاَل            🔸🔹🔴

🔝 Mobile
📱  https://t.co/WpAZMGY59t  

🔝 Other devices
💻 https://t.co/WpAZMGY59t  

💟 Retweet ♻️ Like https://t.co/RlAj7awju5",2020-10-03 12:17:10,"['تشَيلسي_كريستاّل_بالاَس', 'تشيِلسي_كريستاَل']","só mais um FC que ama o Koba Dlç, NÃO SOU ELE @vic_alvees
Criado dia 4/4/10",,83,1034,2010-04-04 21:21:56,19
DaviidLucasz,"Follow the game Live Online ⚽️
Chelsea VS Crystal Palace
🔴🔹🔸#تشَيلسي_كريستاّل_بالاَس #تشيِلسي_كريستاَل            🔸🔹🔴

🔝 Mobile
📱  https://t.co/WpAZMGY59t  

🔝 Other devices
💻 https://t.co/WpAZMGY59t  

💟 Retweet ♻️ Like https://t.co/RlAj7awju5",2020-10-03 12:17:10,"['تشَيلسي_كريستاّل_بالاَس', 'تشيِلسي_كريستاَل']",,,44,448,2011-04-01 00:59:04,19
RenatoZanivan,"Follow the game Live Online ⚽️
Chelsea VS Crystal Palace
🔴🔹🔸#تشَيلسي_كريستاّل_بالاَس #تشيِلسي_كريستاَل            🔸🔹🔴

🔝 Mobile
📱  https://t.co/WpAZMGY59t  

🔝 Other devices
💻 https://t.co/WpAZMGY59t  

💟 Retweet ♻️ Like https://t.co/RlAj7awju5",2020-10-03 12:17:10,"['تشَيلسي_كريستاّل_بالاَس', 'تشيِلسي_كريستاَل']",NãO mii JulGuee FraKo se a LagriMa rOlA (yn),RS,82,837,2012-02-08 17:31:20,19
Lili_Kobayashi,"Follow the game Live Online ⚽️
Chelsea VS Crystal Palace
🔴🔹🔸#تشَيلسي_كريستاّل_بالاَس #تشيِلسي_كريستاَل            🔸🔹🔴

🔝 Mobile
📱  https://t.co/WpAZMGY59t  

🔝 Other devices
💻 https://t.co/WpAZMGY59t  

💟 Retweet ♻️ Like https://t.co/RlAj7awju5",2020-10-03 12:17:10,"['تشَيلسي_كريستاّل_بالاَس', 'تشيِلسي_كريستاَل']",,"Capela,Se",12,577,2010-10-08 20:25:29,19
CineMusicLover,"Follow the game Live Online ⚽️
Chelsea VS Crystal Palace
🔴🔹🔸#تشَيلسي_كريستاّل_بالاَس #تشيِلسي_كريستاَل            🔸🔹🔴

🔝 Mobile
📱  https://t.co/WpAZMGY59t  

🔝 Other devices
💻 https://t.co/WpAZMGY59t  

💟 Retweet ♻️ Like https://t.co/RlAj7awju5",2020-10-03 12:17:10,"['تشَيلسي_كريستاّل_بالاَس', 'تشيِلسي_كريستاَل']","FC dedicado a @bandacine.
Moderadoras: @Carolina_rawr e @carolinemeed",,40,675,2010-07-11 01:54:45,19
PeLuMyNenis,"Follow the game Live Online ⚽️
Chelsea VS Crystal Palace
🔴🔹🔸#تشَيلسي_كريستاّل_بالاَس #تشيِلسي_كريستاَل            🔸🔹🔴

🔝 Mobile
📱  https://t.co/WpAZMGY59t  

🔝 Other devices
💻 https://t.co/WpAZMGY59t  

💟 Retweet ♻️ Like https://t.co/RlAj7awju5",2020-10-03 12:17:08,"['تشَيلسي_كريستاّل_بالاَس', 'تشيِلسي_كريستاَل']","Independente de qualquer escolha, vou sempre estar ao teu lado Pe.
Dedicado ao vocalista e guitarrista @pelurestart Sice: |10.01.11|
Dona: @IsaabeleTavares",Fortaleza - Ceará (:,63,879,2011-01-10 17:01:57,19
chooserapha,"Follow the game Live Online ⚽️
Chelsea VS Crystal Palace
🔴🔹🔸#تشَيلسي_كريستاّل_بالاَس #تشيِلسي_كريستاَل            🔸🔹🔴

🔝 Mobile
📱  https://t.co/WpAZMGY59t  

🔝 Other devices
💻 https://t.co/WpAZMGY59t  

💟 Retweet ♻️ Like https://t.co/RlAj7awju5",2020-10-03 12:17:08,"['تشَيلسي_كريستاّل_بالاَس', 'تشيِلسي_كريستاَل']","Primeiro Choose dedicado ao integrante da Banda Martyn @raphamartyn. RAPHA, NÓS TE ESCOLHEMOS 3",Brasil,33,543,2010-10-04 02:13:02,19
VodkaDoVOLK,"Follow the game Live Online ⚽️
Chelsea VS Crystal Palace
🔴🔹🔸#تشَيلسي_كريستاّل_بالاَس #تشيِلسي_كريستاَل            🔸🔹🔴

🔝 Mobile
📱  https://t.co/WpAZMGY59t  

🔝 Other devices
💻 https://t.co/WpAZMGY59t  

💟 Retweet ♻️ Like https://t.co/RlAj7awju5",2020-10-03 12:17:08,"['تشَيلسي_كريستاّل_بالاَس', 'تشيِلسي_كريستاَل']",Divulga VOLK @VOLKoficial,,294,1135,2010-11-05 15:26:12,19
FcRecomecaar,"Follow the game Live Online ⚽️
Chelsea VS Crystal Palace
🔴🔹🔸#تشَيلسي_كريستاّل_بالاَس #تشيِلسي_كريستاَل            🔸🔹🔴

🔝 Mobile
📱  https://t.co/WpAZMGY59t  

🔝 Other devices
💻 https://t.co/WpAZMGY59t  

💟 Retweet ♻️ Like https://t.co/RlAj7awju5",2020-10-03 12:17:08,"['تشَيلسي_كريستاّل_بالاَس', 'تشيِلسي_كريستاَل']",,,78,600,2010-06-05 18:57:15,19
TiasDaDuda,"Follow the game Live Online ⚽️
Chelsea VS Crystal Palace
🔴🔹🔸#تشَيلسي_كريستاّل_بالاَس #تشيِلسي_كريستاَل            🔸🔹🔴

🔝 Mobile
📱  https://t.co/WpAZMGY59t  

🔝 Other devices
💻 https://t.co/WpAZMGY59t  

💟 Retweet ♻️ Like https://t.co/RlAj7awju5",2020-10-03 12:17:08,"['تشَيلسي_كريستاّل_بالاَس', 'تشيِلسي_كريستاَل']",Você se considera uma das Tia da Dudinha ? Então follow-me :D donas: @aboutisamanda @BruunaRawr since: 07/02/11. ainda não oficializado :),Rio Grande do Sul,39,737,2011-02-07 15:02:16,19
yagoccosta,"Follow the game Live Online ⚽️
Chelsea VS Crystal Palace
🔴🔹🔸#تشَيلسي_كريستاّل_بالاَس #تشيِلسي_كريستاَل            🔸🔹🔴

🔝 Mobile
📱  https://t.co/WpAZMGY59t  

🔝 Other devices
💻 https://t.co/WpAZMGY59t  

💟 Retweet ♻️ Like https://t.co/RlAj7awju5",2020-10-03 12:17:06,"['تشَيلسي_كريستاّل_بالاَس', 'تشيِلسي_كريستاَل']","I Didn't Choose The Thug life,The Thug Life Chose Me.",,152,20237,2011-03-13 02:23:46,19
wearerobsessed,"Follow the game Live Online ⚽️
Chelsea VS Crystal Palace
🔴🔹🔸#تشَيلسي_كريستاّل_بالاَس #تشيِلسي_كريستاَل            🔸🔹🔴

🔝 Mobile
📱  https://t.co/WpAZMGY59t  

🔝 Other devices
💻 https://t.co/WpAZMGY59t  

💟 Retweet ♻️ Like https://t.co/RlAj7awju5",2020-10-03 12:17:04,"['تشَيلسي_كريستاّل_بالاَس', 'تشيِلسي_كريستاَل']",bella: you scared me. rob: im batman,Robert and Kristen's bed,185,6839,2012-07-25 19:53:46,19
volknomorro,"Follow the game Live Online ⚽️
Chelsea VS Crystal Palace
🔴🔹🔸#تشَيلسي_كريستاّل_بالاَس #تشيِلسي_كريستاَل            🔸🔹🔴

🔝 Mobile
📱  https://t.co/WpAZMGY59t  

🔝 Other devices
💻 https://t.co/WpAZMGY59t  

💟 Retweet ♻️ Like https://t.co/RlAj7awju5",2020-10-03 12:17:03,"['تشَيلسي_كريستاّل_بالاَس', 'تشيِلسي_كريستاَل']","Volk no Rio é Tipo Colombia,só pentada violenta!

Desde 11/06/2O1O",From Favela,180,5445,2010-06-12 00:23:52,19
Tactical_Times,A wonder if Timo Werner knew about the deep defensive lines in the Premier League. I don't think there's any team in Germany quite like Crystal Palace.,2020-10-03 12:17:03,[],"Social Media for The Tactical Times.

Football analysis, tactics and statistics.

https://t.co/nDaDrnXwpv",,40008,19760,2018-11-28 16:24:18,49
MeuMundoDay,"Follow the game Live Online ⚽️
Chelsea VS Crystal Palace
🔴🔹🔸#تشَيلسي_كريستاّل_بالاَس #تشيِلسي_كريستاَل            🔸🔹🔴

🔝 Mobile
📱  https://t.co/WpAZMGY59t  

🔝 Other devices
💻 https://t.co/WpAZMGY59t  

💟 Retweet ♻️ Like https://t.co/RlAj7awju5",2020-10-03 12:17:02,"['تشَيلسي_كريستاّل_بالاَس', 'تشيِلسي_كريستاَل']",1° Fc feito por Gilvane K. para a mais bela participante do Rola Ou Enrola Dayane Oliveira..' Te Amo Day / Tbm sou dono do @CrisMeuVicio Since: 08/11/12,Rio Grande Do Sul,135,2718,2012-11-08 10:02:47,19
LMW10_,We haven’t lost to Crystal Palace at home in 4 years...,2020-10-03 12:17:02,[],@dcfcofficial,"Derby, England",2408,10294,2018-12-25 17:05:52,26
