username,text,tweetcreatedts,hashtags,acctdesc,location,followers,totaltweets,usercreatedts,retweetcount
sikmeyisevenn,"WATCH NOW: Chelsea v Crystal Palace - Premier League 

🔴 LIVE links Here ↓↓↓↓

Mobile📲 https://t.co/68MuJL65LA

⏩

 Mobile📲 https://t.co/68MuJL65LA

⏩ 

#CHECRY

Hits Like &amp; Retweet🔂

Chilwell
Werner https://t.co/tWYF52LGNA",2020-10-03 13:08:21,[],genç evli dul farketmez her türlü kaçamak yapmak isteyenler dm herşey gizlilik içersinde😜,UK,32,558,2019-05-12 18:10:03,9
emineklnc001,"WATCH NOW: Chelsea v Crystal Palace - Premier League 

🔴 LIVE links Here ↓↓↓↓

Mobile📲 https://t.co/68MuJL65LA

⏩

 Mobile📲 https://t.co/68MuJL65LA

⏩ 

#CHECRY

Hits Like &amp; Retweet🔂

Chilwell
Werner https://t.co/tWYF52LGNA",2020-10-03 13:08:21,[],Mustafa Kemal Atatürk 🇹🇷,USA,121,600,2017-01-16 18:13:35,9
busratuncay96,"WATCH NOW: Chelsea v Crystal Palace - Premier League 

🔴 LIVE links Here ↓↓↓↓

Mobile📲 https://t.co/68MuJL65LA

⏩

 Mobile📲 https://t.co/68MuJL65LA

⏩ 

#CHECRY

Hits Like &amp; Retweet🔂

Chilwell
Werner https://t.co/tWYF52LGNA",2020-10-03 13:08:21,[],"Sinirli değilim Rizeliyim❤
GÜ/Saglık Yönetimi 
ikizler",,53,510,2015-09-10 08:40:14,9
Benibenisavcini,"WATCH NOW: Chelsea v Crystal Palace - Premier League 

🔴 LIVE links Here ↓↓↓↓

Mobile📲 https://t.co/68MuJL65LA

⏩

 Mobile📲 https://t.co/68MuJL65LA

⏩ 

#CHECRY

Hits Like &amp; Retweet🔂

Chilwell
Werner https://t.co/tWYF52LGNA",2020-10-03 13:08:21,[],HİÇBİR ŞEYİN ORTASI,,189,427,2016-11-17 16:57:05,9
__abeiku,"Time Werner vs Crystal Palace, movement, speed and deadly finishing. https://t.co/jasf7ZwAf0",2020-10-03 13:08:21,[],"it’s all laughter over here, save the hate",Worldwide,980,65090,2012-12-08 18:42:13,43
zwenis_,"Crystal Palace 3- 1 Man United 
Chelsea 3- 0 Crystal Palace 

Man United fans are you watching😂😂",2020-10-03 13:08:19,[],CEO of paperboss_gh🇬🇭||VFX|| Photoshop📸|| ||Photography Blogger||Music lover🎶|| August 2🎂 ||Stay Alive💫 Barcelona❤️💙 Please Sub My Youtube(Link👇🏾),Turn Post Notification On🔔,22129,34304,2018-04-22 07:59:10,14
CFCIntegral,"Chelsea Vs Crystal palace
[3-0]  77'

Jorginho converted from the Spot

#CHECRY
Follow me for more live commentaries",2020-10-03 13:08:19,['CHECRY'],"CFC💙. 
I post live commentaries from all Chelsea matches.

Now that you are here please press the follow button.",,1312,2164,2017-08-31 13:39:11,0
AimonNasir,"GOAL: Chelsea 2 - 0 Crystal Palace. Kurt Zouma doubles their lead. Great cross from Ben Chilwell! #CHECRY 

⚽🔵🦅",2020-10-03 13:08:19,['CHECRY'],I’m always where the sun don’t shine,,271,68126,2012-09-15 02:48:08,10
ajumobi_james,"GOAL! Kurt Zouma scores from Ben Chilwell's cross!

Chelsea 2-0 Crystal Palace #CHECRY https://t.co/xLxRoQHfMn",2020-10-03 13:08:18,['CHECRY'],"NF, GGMU, Messi!",......,2235,39578,2019-07-16 10:03:36,66
romagut_,"Time Werner vs Crystal Palace, movement, speed and deadly finishing. https://t.co/jasf7ZwAf0",2020-10-03 13:08:17,[],Life e no eazy my brother,,573,24477,2014-07-13 22:16:15,43
FreeKickFootba2,"Nothing Suprise when Chelsea Win againts Palace , it suprise if Palace win againts Chelsea , Relax
#CHECRY",2020-10-03 13:08:17,['CHECRY'],All About Football ⚽,"DKI Jakarta, Indonesia",1,26,2020-10-02 15:20:07,0
FFScout,"️⚽️ | GOAL - Jorginho
🅰 | ASSIST - Tammy Abraham

🧿 Chelsea 3-0 Crystal Palace 🦅

#FPL #FantasyPL #FFScout #GW4 #CHECRY",2020-10-03 13:08:16,"['FPL', 'FantasyPL', 'FFScout', 'GW4', 'CHECRY']","The original and industry-leading Fantasy Football Community.

#FPL tips, tools, advice, and more!

➡️ https://t.co/lIQ9gznngf",,167072,58385,2009-02-18 12:00:11,1
Deeva4dlord,"@YorubaBoy_ That's why they're Crystal palace, they turn up one day,flop d next",2020-10-03 13:08:16,[],CEO/Founder HHWD(totally dedicated to putting a smile on orphan's faces) #TwitterRadio (TR) .DM for business & promo. Manchester United Fan🇮🇲,Lagos,78115,332638,2011-01-09 21:34:46,0
finallybolu,It’s just crystal palace smh https://t.co/SZg4vgFqIH,2020-10-03 13:08:15,[],All things @manutd and Football related. • Don’t take me too seriously.,"Ontario, Canada",2933,19996,2017-09-30 18:53:45,0
Football__Tweet,"GOAL: Chelsea 3 - 0 Crystal Palace. Jorginho converts from the spot-kick. #CHECRY 

⚽🔵🦅",2020-10-03 13:08:14,['CHECRY'],The home of football discussion. 18+.,team@thesocialsup.com,576309,97091,2012-01-12 20:31:01,6
_iDavie,Sokratis and Mustafi would transform Crystal Palace defense,2020-10-03 13:08:14,[],arsenal fc,,5415,89083,2013-03-06 05:19:55,0
Capt_Aikay,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 13:08:13,[],"Nigerian Man, Almost Tall; Almost Dark; Almost Handsome.","Abuja, Nigeria",1254,263208,2012-02-25 07:29:58,5571
Dara_Ernal,Lampard helping Manchester United take revenge against Crystal Palace.. Love to see it 💪💪,2020-10-03 13:08:12,[],"iWrite ✍🏽 | Soft Spot For Photography 📸 | Manchester United ⚽ | My avi is not me ✌️| stephenomodara7@gmail.com
@ReekadoBanks | @rihanna | Icons  💡","Ibadan, Nigeria",23370,135311,2012-07-18 16:07:20,0
mrjakehumphrey,"75 minutes in. Wilf Zaha has had less touches than the Chelsea keeper. 

It’s not exciting stuff from Palace is it??",2020-10-03 13:08:12,[],High Performance Pod - https://t.co/JFm82tDqpt * BT Sport * Co-founder @wearewhispertv * @coraleyewear Investor * Enquiries hannah@jakehumphreyofficial.com,"Norwich, England",899271,35630,2009-05-18 08:23:52,8
Ergindeniz13,"WATCH NOW: Chelsea v Crystal Palace - Premier League 

🔴 LIVE links Here ↓↓↓↓

Mobile📲 https://t.co/68MuJL65LA

⏩

 Mobile📲 https://t.co/68MuJL65LA

⏩ 

#CHECRY

Hits Like &amp; Retweet🔂

Chilwell
Werner https://t.co/tWYF52LGNA",2020-10-03 13:08:11,['CHECRY'],FREE LINKS2,,2,7,2017-07-02 14:42:57,9
bonnmore,It went from bad to worse for Crystal Palace.,2020-10-03 13:08:10,[],,Palapye,847,18702,2014-06-06 21:26:45,0
trasfera,"Turning my sorrows into joy.
#CHECRY Chilwell Chelsea Palace https://t.co/gFF0mj9h1R",2020-10-03 13:08:10,['CHECRY'],Follow Back,,277,136,2020-09-09 12:14:58,0
TheSunFootball,PENALTY CHELSEA https://t.co/cMN9Ockgh3,2020-10-03 13:08:10,[],"Breaking news, goals, live coverage and more. Give us a like on Facebook too: https://t.co/JcmSsjtOAm",,471292,253176,2009-02-12 16:21:06,1
Mike_ThePundit,This Crystal Palace na gbef sef,2020-10-03 13:08:10,[],Broadcast Journalist | CEO @thevitalnewsng | Football Writer | Commentator | Sport Content Provider.,"Ogun, Nigeria",2076,5118,2020-01-08 13:44:02,0
talkSPORT,"GOAL!! Chelsea 3-0 Palace

⚽️ Jorginho scores from the spot!

📱 App → https://t.co/B20m65uOHq
📻 Listen → https://t.co/VJgUHnqdM1 https://t.co/MA3xxF0PPM",2020-10-03 13:08:09,[],"News, videos and more from the world’s biggest sports radio station → https://t.co/9LO85paK30",United Kingdom,1425015,159527,2008-07-06 13:22:54,2
Odoro_Harold,Crystal Palace ran rings around us two weeks ago but now playing like prime relegation fodder. I hate the Epl sometimes 😏,2020-10-03 13:08:07,[],"Only the dead have seen the end of war. 
Let's keep peace and give our children a favorable environment to grow.",Nairobi,344,2558,2016-05-17 09:43:28,0
emtee,He lost possession more times than any other player on the pitch in the opening 10 minutes. https://t.co/GLruZlEWtT,2020-10-03 13:08:07,[],#emailmarketing #emaildesign coder - @wokingfc and @chelseafc supporter. Left handed.,"Woking, South East",3049,14194,2009-03-03 11:25:03,54
Football_LDN,"PENALTY TO CHELSEA 
https://t.co/uQdAlvqZA1",2020-10-03 13:08:07,[],Comprehensive coverage of every football club in London.,"London, England",30375,70090,2016-12-02 09:29:19,0
KagisoMaseka,Palace is literally gifting this game to Chelsea 💀,2020-10-03 13:08:05,[],"Petrolhead || FC Barcelona ❤️💙⚽️ || I am not my tweets and retweets, sometimes","Pretoria, South Africa",1324,26902,2020-03-28 09:53:54,0
Jaba_99,Cyah believe a dah Crystal Palace side yah give mi team 3-1.,2020-10-03 13:08:04,[],"Kaboom Nation 
#MUFC
Team #Lebron #LukaDoncic
When di music hit you, you feel no pain",,1978,63994,2011-03-07 18:37:19,1
welve88,"76' PENALTY CHELSEA! Mitchell trips Abraham in the box. Werner wants to take, but Jorginho takes it off him. #cfc https://t.co/dbiesYR7LE",2020-10-03 13:08:03,['cfc'],Åsen. Fotballnerd. RBK og Chelsea. Trener for Aasguten J8!,"Levanger, Norge",1752,100374,2012-01-15 14:41:05,2
moderate_ustaz,"Manchester United fans seeing Chelsea winning crystal palace 😂😂
#CHECRY 

Chiwell | Havertz ZOUMA https://t.co/nVZYvsFDoX",2020-10-03 13:08:03,['CHECRY'],"Moderate as the name implies
😎. Simple man 😊, Golden ❤️. Student of knowledge 😎, Always forgive 💯 Social ustaz🙅  katsina🏡, Taba kidi taba karatu📕🕺💃",Jannah ,46834,66098,2015-05-16 10:55:20,120
ab_djigal,"Kai Havertz in the first half against Crystal Palace:

◉ 100% aerial duels won
◉ =Most chances created (2)
◉ =Most tackles (2)
◉ =Most clearances (2)

Doing it all for the Blues. https://t.co/pgC6o96sPr",2020-10-03 13:08:01,[],@ChelseaFC • 💙 • @didierdrogba • #LLJ 🕊,"Dakar, Senegal 📍",2687,29849,2016-08-01 13:43:45,1329
Chelsea_FL,"PENALTY 
https://t.co/Kty8wkF5HO",2020-10-03 13:08:00,[],"All the latest Chelsea news, rumours and opinion from @Football_LDN. Like us on Facebook for more: https://t.co/aSkwJ8Y3Eb","London, England",147296,108089,2010-02-04 15:54:16,3
mudhaher6,"PENALTY TO CHELSEA!

Mitchell brings down Abraham
#CHECRY 
https://t.co/Fu8omGpOyC",2020-10-03 13:08:00,['CHECRY'],محب للرياضة                          snap: mudhaher70.               instagram: mudhaher70.,"صحار, سلطنة عمان",227,153301,2016-10-03 14:17:26,1
Alakijajr,"GOAL Chelsea 2-0 Crystal Palace (66 mins)

Kurt Zouma heads in a cross to double the hosts' advantage

#CHECRY",2020-10-03 13:07:59,['CHECRY'],Alakija_jr 👑 ||Aspiring Engineer🚗||Redeemer's University ||Saxo 🎷phonist,My fathers house ,1327,7812,2019-06-27 09:14:13,220
joachinkkp,"GOAL Chelsea 2-0 Crystal Palace (66 mins)

Kurt Zouma heads in a cross to double the hosts' advantage

#CHECRY",2020-10-03 13:07:57,['CHECRY'],"Congolese,Entrepreneur,Farmer,Free thinker,Political junkie, Menswear Enthusiast.","Washington, DC",185,11212,2016-12-07 11:00:02,220
arslanw68,"Time Werner vs Crystal Palace, movement, speed and deadly finishing. https://t.co/jasf7ZwAf0",2020-10-03 13:07:55,[],,"London, England",103,75407,2017-09-02 22:00:24,43
kartikahari13,OFFICIAL: Christian Pulisic is IN tomorrow's squad to face Crystal Palace. https://t.co/Btiigl3cHX,2020-10-03 13:07:55,[],Jat's and Say's Alhamdulillah🌼,"Yogyakarta, Indonesia",1439,313808,2011-03-10 11:00:51,281
Vtvdmm,Ben Chilwell has lost possession (5) more times than any other player on the pitch against Crystal Palace in the opening 10 minutes.,2020-10-03 13:07:55,[],C.E.O V.A.N GROUP//What else do you want to know about me?,"Lagos, Nigeria",348,53203,2010-03-18 17:43:47,587
Osei_dawson,"Crystal Palace spoil the agenda
Penalty Chelsea",2020-10-03 13:07:53,[],"🌟GOD-FEARING||Talented Drummer||@Lakers||@LFC|| Asante Kotoko Fanatic||My opinions though😉#ynwa IG:gideon.dawson||
SC:gideondawson||
FB:Gideon Dawson||","Accra, Ghana",211,20812,2017-04-06 07:07:29,0
CollinPearce,"GOAL Chelsea 2-0 Crystal Palace (66 mins)

Kurt Zouma heads in a cross to double the hosts' advantage

#CHECRY",2020-10-03 13:07:53,['CHECRY'],Private Wealth Advisor | Campbell University alumnus | Trust | Serious record collector | Sneakerhead,"Raleigh, NC",261,32670,2011-05-26 12:31:52,220
theboogeyma_n,Crystal Palace are acc shit and they won us 🤣🤣🤣,2020-10-03 13:07:50,[],|Ambivert | Music| Man United| Medical Student| Christian| Good Vibes| Just Keepin' It A Hunnid Till I Meet The Man Up In The Sky 🦍 \\ I Retweet Everything //,Right Behind You🚶,1003,10050,2019-08-29 01:06:33,0
CFCIntegral,"Chelsea Vs Crystal palace
[2-0]  76'

Penalty for Chelsea

#CHECRY
Follow me for more live commentaries",2020-10-03 13:07:50,['CHECRY'],"CFC💙. 
I post live commentaries from all Chelsea matches.

Now that you are here please press the follow button.",,1312,2164,2017-08-31 13:39:11,0
Choosejes,"🆕Live 🆓stream 📶🌐

Chelsea vs Crystal Palace | Second half ⏱️

 Live Links👇

Mobile📱 LINK🎥 &gt;&gt; https://t.co/mIQurV1rPK

Computer 🖥️LINK 🎥&gt;&gt; https://t.co/mIQurV1rPK

Live HD LINK 🎥&gt;&gt; https://t.co/mIQurV1rPK

#️⃣ #CHECRY

Hits Like &amp; Retweet https://t.co/eVlnUfPvQt",2020-10-03 13:07:49,['CHECRY'],"Sou Uma Choose Jéssica dona do FC pro @pelurestart , a @_pelumeuar { @oisoujes } eu te amo muito pequena (L) Dona : @raissleite",Rio de Janeiro,173,25,2012-04-06 21:58:56,0
kartikahari13,Ziyech and Pulisic not 100% fit yet so this is our lineup for the weekend against Crystal Palace https://t.co/aEaP7HSfMc,2020-10-03 13:07:47,[],Jat's and Say's Alhamdulillah🌼,"Yogyakarta, Indonesia",1439,313808,2011-03-10 11:00:51,79
_TheAyi,"Crystal Palace have had 0 shots on target. 

Silva and Zouma is the way forward man.",2020-10-03 13:07:46,[],"I can neither confirm nor deny anything I tweet. Except promotions & Dm. Political scientists, Computer Engineer & a Python Programmer. Man city fc✌","Toronto, Ontario",1183,95010,2010-02-25 13:16:28,171
IfyesDM,Ben Chilwell has lost possession (5) more times than any other player on the pitch against Crystal Palace in the opening 10 minutes.,2020-10-03 13:07:46,[],"Football⚽,Music 🎶🎶
El último nacido💥💥",Cruise,1179,93591,2017-10-07 09:00:45,587
LebzVon,"Manchester United fans seeing Chelsea winning crystal palace 😂😂
#CHECRY 

Chiwell | Havertz ZOUMA https://t.co/nVZYvsFDoX",2020-10-03 13:07:46,['CHECRY'],"C.E.O of ME INDUSTRIES ☝🏾
🔥LEBZ VON a.k.a TANK a.k.a WAR DADDY a.k.a LEBOGANG MOGODI...🔥","Johannesburg, South Africa",252,4427,2012-01-01 10:38:50,120
IndyFootball,"PENALTY TO CHELSEA!

Mitchell brings down Abraham
#CHECRY 
https://t.co/Fu8omGpOyC",2020-10-03 13:07:46,['CHECRY'],"Football news, comment and features. Facebook: https://t.co/XolVsnfDGz Instagram: https://t.co/9rU9kYKeIP",United Kingdom,99318,146569,2012-03-14 10:44:23,1
Oludolapo_O,"Kai Havertz in the first half against Crystal Palace:

◉ 100% aerial duels won
◉ =Most chances created (2)
◉ =Most tackles (2)
◉ =Most clearances (2)

Doing it all for the Blues. https://t.co/pgC6o96sPr",2020-10-03 13:07:45,[],"Prince. 
Businessman.
Life Enjoyer. 
Real Estate and Property Development Expert.
RTs are NOT endorsements!",Everywhere.,838,81288,2009-12-26 04:07:40,1329
seanwilsin,Chillwell causing trouble in the Crystal Palace box. We love to see this. Keep them crosses coming👏🏽,2020-10-03 13:07:44,[],"Mighty hand in a pen✍ Spoken languages: humour, sarcasm & real shii. #Sapiosexual #Metrosexual #Lumbersexual #AdrenalineJunkie #Southpaw",Alternate universe,3089,4926,2019-03-26 16:38:40,0
biggy_orobo,Ole na crystal palace wey beat us Chelsea dey fuck anyhow soooo..na God go punish you,2020-10-03 13:07:44,[],courageous #RevolutionIsAMust #MUFC .Data scientist. #Freedom. fan of @superwozzy_wg. #straight. RT is not endorsement,"Akure, Nigeria",5968,32585,2019-01-30 00:46:02,0
Uniraopelumi,"GOAL!

A goal and now an assist for Ben Chilwell 👌

Kurt Zouma heads it in and Lampard looks thrilled.

Chelsea 2-0 Crystal Palace

Listen: @5liveSport 
Follow: https://t.co/dvVR0n0ax5

#bbcfootball #CHECRY https://t.co/X057WV9kdB",2020-10-03 13:07:43,[],Christain. Medical Doctor  #CFC,"Lagos, Nigeria",847,68477,2011-04-28 17:37:10,23
laditwits,Crystal Palace so useless,2020-10-03 13:07:43,[],#AFC!!,Friendzone,767,37935,2013-05-11 01:17:24,0
quinn_utd,Crystal Palace playing like so bad I can’t believe these guys won us,2020-10-03 13:07:43,[],19 🇲🇺🇨🇦• 𝖙𝖊𝖈𝖍 𝖌𝖎𝖗𝖑• 𝕲𝖗𝖊𝖊𝖓𝖜𝖔𝖔𝖉 💕 @manutd ❣ @manutdwomen 🦋 𝖒𝖊𝖒𝖊 𝖖𝖚𝖊𝖊𝖓 👸,"Latulipe-et-Gaboury, Québec",1822,6692,2020-06-14 16:38:38,0
Augustmhern_,Let’s see if crystal Palace will make my day with the early kick off. Today di3 green nkwaoooo ✅✅✅✅✅,2020-10-03 13:07:42,[],M U S I C 🎧C R E A T O R,"Koforidua, Ghana",15361,388986,2017-12-11 22:17:51,34
LFCZA,Crystal Palace have shit the bed in the second half.,2020-10-03 13:07:41,[],Get your very own https://t.co/OBUM8cYfFZ email address! Email lfcza@liverpool.co.za,Home of the original Spion Kop,37229,112103,2010-07-12 18:11:57,1
__maryamaa___,"Manchester United fans seeing Chelsea winning crystal palace 😂😂
#CHECRY 

Chiwell | Havertz ZOUMA https://t.co/nVZYvsFDoX",2020-10-03 13:07:41,['CHECRY'],"Ex JP 🛫
#Futurenurse
#Abusite","Kaduna, Nigeria",24038,22534,2020-02-17 15:20:17,120
musa14aliyu1,"GOAL Chelsea 2-0 Crystal Palace (66 mins)

Kurt Zouma heads in a cross to double the hosts' advantage

#CHECRY",2020-10-03 13:07:40,['CHECRY'],Accountant.. Muslim(sufee).. Liverpool LFC,,390,19970,2016-03-10 19:58:41,220
Madridi76623382,"Kai Havertz in the first half against Crystal Palace:

◉ 100% aerial duels won
◉ =Most chances created (2)
◉ =Most tackles (2)
◉ =Most clearances (2)

Doing it all for the Blues. https://t.co/pgC6o96sPr",2020-10-03 13:07:39,[],"CR7's loyan fan🇵🇹,Madridista👑,BLACKPINK🖤❤",Myanmar,18,679,2018-04-10 18:27:50,1329
ojharbord,"76' PENALTY CHELSEA! Mitchell trips Abraham in the box. Werner wants to take, but Jorginho takes it off him. #cfc https://t.co/dbiesYR7LE",2020-10-03 13:07:39,['cfc'],Chelsea FC correspondent for https://t.co/wCsmKxTDuE. Views are my own. #cfc #chelsea,London,27983,18882,2009-11-11 17:16:18,2
josh7stocks,Chelsea more than deserved winners. Palace already played their cup final away at Old Trafford!,2020-10-03 13:07:36,[],Too many opinions on too many things and tweet too many times. 23. Manchester United. Labour. I’m funnier than what I come across on twitter..,"North West, England",2094,27717,2011-12-25 10:39:57,0
simon__44,"Chelsea 2-0 Crystal Palace

Kurt Zouma meets a Chilwell cross to put Chelsea two goals up. What a game Chilwell is having! A goal and an assist. Can Palace make a come back?

#HomeOfSports #EPLKuSanyuka #CHECRY https://t.co/KOHcL61QTB",2020-10-03 13:07:36,[],"proudly Ugandan,  hard working, game changer,loving once loved",kajjansi,79,7566,2017-01-11 07:45:26,3
antokorie,"Crystal Palace have shofo 
🤦🏾‍♂️
FPL in the gutter already",2020-10-03 13:07:36,[],Infotech | Football | Cars | Love | Music | Computer Village | Humor | German (affidavit) in no particular order.,"Ikeja, Nigeria",177,12192,2019-12-13 22:26:01,0
chief_pekin,So na this crystal palace team beat Utd baim ☹️,2020-10-03 13:07:36,[],الله أكبر,Sierra Leone,442,388,2019-06-22 13:47:58,0
vonani_,Crystal palace throwing the game.,2020-10-03 13:07:36,[],civil engineering | 📩 regalggroup@outlook.com,Bungeni,52,1541,2019-10-30 15:01:59,0
momohizham,"Goal - ZOUMA
Assist - CHILWELL

Chelsea 2-0 Crystal Palace (66 mins)

#FPL #CHECRY",2020-10-03 13:07:35,"['FPL', 'CHECRY']",oh well...oh well...,Sagittarius,176,33593,2012-08-31 14:26:45,253
MiideOba,No shot on target for Crystal Palace that means the Chelsea defense are working #CFC #CHECRY,2020-10-03 13:07:33,"['CFC', 'CHECRY']","MiideOba 💪 🇳🇬
Sept_King 👑 19/09
WhatsApp 08159760086",Somewhere in West Africa ,542,1438,2020-07-08 21:49:49,0
AdvertiserCPFC,"Penalty for Chelsea.

#CPFC 

https://t.co/tSSvUkOGqv",2020-10-03 13:07:33,['CPFC'],"All the latest Crystal Palace news, rumours and opinion from @Football_LDN #CPFC","London, England",11751,38761,2009-11-24 16:18:26,0
__SARKI__,"Manchester United fans seeing Chelsea winning crystal palace 😂😂
#CHECRY 

Chiwell | Havertz ZOUMA https://t.co/nVZYvsFDoX",2020-10-03 13:07:31,['CHECRY'],"we come from the jungle we hot but we humble♣ we rise up by lifting others🙌🏼 let's smile and change the world  😮 
           DM only for promotion & ads",new world,16510,85572,2020-01-19 23:55:28,120
FinnWonderland,"72: Second Palace sub. 

⬅️ McArthur 
➡️ Riedewald

🔵 2-0 🦅 

#CPFC | #CHECRY https://t.co/1xa91t6w8E",2020-10-03 13:07:31,"['CPFC', 'CHECRY']","Official Twitter account I'm áril.. Even If Things are painful and tough, people should appreciate what it means to be Alive at All. #BeYourself",,2,380785,2017-07-14 06:12:32,31
richarejace,"Chelsea vs Crystal Palace, live🔥

Kindly retweet and follow @LiveMatch_HD_ to enjoy more 👌🏻

#CHECRY .

https://t.co/XzTGX8blyn",2020-10-03 13:07:30,['CHECRY'],"creates animation contents on ads, promos and business.",,74,378,2020-10-02 11:19:26,5
standardsport,"It should be 3-0!

Hudson-Odoi has the better of Mitchell but Abraham cannot head his cross on target.

#CHECRY

https://t.co/EEcYkvqQed",2020-10-03 13:07:30,['CHECRY'],"Latest sports news, views and live football from the @EveningStandard.","London, England",40853,173100,2009-05-06 08:49:47,0
leomar00222,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 13:07:29,[],لص يركض حول الغابة .. !,#Més que Un club,849,37281,2015-01-29 22:28:46,5571
inno_inn0,"Today: Chelsea vs. Crystal Palace.

👉👈 https://t.co/YosqMAWlAZ",2020-10-03 13:07:27,[],God🙏🏿 | Family 👨‍👨‍👦 | Work 👨🏿‍🔬 | Gym 🏋🏿‍♀️,🇺🇬 Uganda,1006,127326,2018-05-31 12:20:11,5571
IndoSport,"Premier League latest:

Chelsea 2 (Chilwell, 50, Zouma, 66) Crystal Palace 0",2020-10-03 13:07:26,[],"#Breaking Sports news feed from @Independent_ie, Ireland's biggest news website.
Get in touch: Sport@independent.ie 
Submit using #IndoSubmit",Ireland,74011,193491,2011-03-01 22:10:02,0
OptusSport,"That is a monstrous header from Kurt Zouma!

And Ben Chilwell has an assist!

LIVE | https://t.co/EkwrKazksU

#PL #CHECRY #OptusSport https://t.co/qu9CSTI2oS",2020-10-03 13:07:25,"['PL', 'CHECRY', 'OptusSport']","Home of Premier League; UEFA Champions League, Europa League, Nations League, Euro 2020; FA Women's Super League; J.League; FIFA Club World Cup; K-League",Australia,44541,55621,2015-11-11 01:45:47,2
Prixxus,Crystal Palace exposed.,2020-10-03 13:07:25,[],"Gunnersaurus, forever in our hearts!

Eat. Pray. Love. Be intentional. |
Father to a beautiful boy.
Husband to an amazing woman.","Home, Home, Home again. ",872,44468,2012-12-08 21:08:41,0
Feu_bender,"Kai Havertz in the first half against Crystal Palace:

◉ 100% aerial duels won
◉ =Most chances created (2)
◉ =Most tackles (2)
◉ =Most clearances (2)

Doing it all for the Blues. https://t.co/pgC6o96sPr",2020-10-03 13:07:24,[],nothing to say here,Anywhere 🤷🏾‍♂️,3808,241841,2010-09-04 16:31:08,1329
nbstv,"Chelsea 2-0 Crystal Palace

Kurt Zouma meets a Chilwell cross to put Chelsea two goals up. What a game Chilwell is having! A goal and an assist. Can Palace make a come back?

#HomeOfSports #EPLKuSanyuka #CHECRY https://t.co/KOHcL61QTB",2020-10-03 13:07:23,"['HomeOfSports', 'EPLKuSanyuka', 'CHECRY']","Always consistent, Always informative, Always entertaining. Make us part of your everyday life. Follow every story via #NBSUpdates #UgVotes2021",Uganda,654047,248786,2011-07-29 13:50:11,3
RealIgbominaBoy,"Kai Havertz in the first half against Crystal Palace:

◉ 100% aerial duels won
◉ =Most chances created (2)
◉ =Most tackles (2)
◉ =Most clearances (2)

Doing it all for the Blues. https://t.co/pgC6o96sPr",2020-10-03 13:07:23,[],🦂#Scorpio | Surveyor | Cinematographer | Motion Graphics Artist | Videographer | Editor | Colorist | Adobe Premiere Addict | @ChelseaFC | @glintfootball,Mushin,1436,4290,2019-05-13 08:28:53,1329
rutie__xx,"Manchester United fans seeing Chelsea winning crystal palace 😂😂
#CHECRY 

Chiwell | Havertz ZOUMA https://t.co/nVZYvsFDoX",2020-10-03 13:07:21,['CHECRY'],Brand Influencer | Digital Marketer | Promoter | Chief Enjoyment Officer | Aspiring to live life to the fullest | DM FOR BUSINESS ONLY,"Federal Capital Territory, Nigeria",18844,41730,2019-02-06 08:26:25,120
opeyemip_,"Kai Havertz in the first half against Crystal Palace:

◉ 100% aerial duels won
◉ =Most chances created (2)
◉ =Most tackles (2)
◉ =Most clearances (2)

Doing it all for the Blues. https://t.co/pgC6o96sPr",2020-10-03 13:07:21,[],✌🏾,"Lagos, Nigeria",555,36475,2010-11-10 13:28:42,1329
Famous_Anfield,"Manchester United fans seeing Chelsea winning crystal palace 😂😂
#CHECRY 

Chiwell | Havertz ZOUMA https://t.co/nVZYvsFDoX",2020-10-03 13:07:21,['CHECRY'],C H A R I S M A T I C • A L P H A • M A L E,Northern Nigeria.,20194,92101,2015-12-17 15:18:01,120
SeiduSemira,"GOAL Chelsea 2-0 Crystal Palace (66 mins)

Kurt Zouma heads in a cross to double the hosts' advantage

#CHECRY",2020-10-03 13:07:20,['CHECRY'],"A little different.    


Arsenal FC fan",Kano Nigeria/Cebu Philippines,958,23084,2011-12-27 10:21:20,220
Alakijajr,"Goal - ZOUMA
Assist - CHILWELL

Chelsea 2-0 Crystal Palace (66 mins)

#FPL #CHECRY",2020-10-03 13:07:19,"['FPL', 'CHECRY']",Alakija_jr 👑 ||Aspiring Engineer🚗||Redeemer's University ||Saxo 🎷phonist,My fathers house ,1327,7812,2019-06-27 09:14:13,253
Jnrbobby2,"Kai Havertz in the first half against Crystal Palace:

◉ 100% aerial duels won
◉ =Most chances created (2)
◉ =Most tackles (2)
◉ =Most clearances (2)

Doing it all for the Blues. https://t.co/pgC6o96sPr",2020-10-03 13:07:19,[],"Let Love Lead! Positivity.
Love God, football, boxing, music, nudes, blah blah.","Accra, Gh🇬🇭",244,16369,2019-12-12 12:16:24,1329
Ak_circle,"Chelsea defend I have on my FPL is sitting comfortably and breathing fine on the bench. 

Please Crystal palace score one goal and ruin their clean sheet. https://t.co/JBPwZe7ack",2020-10-03 13:07:18,[],"Car Dealer.
Traveller ✈️ Book Lover 📖 Obsessed with pizza🍕... ❤️ Lover not a fighter spreading ✌️all over the 🌎.",Earth,1258,13044,2019-01-22 07:01:27,8
